1, 0000000000000000000000000000000101000010101100000000000000000000, 000000000000000000000000000000010
3, 0000000000000000000000000000000101000010101100111011110101110001, 000000000000000000000000000000010
5, 0000000000000000000000000000000101000010101101011000000000000000, 000000000000000000000000000000010
7, 0000000000000000000000000000000101000010101100111110000101001000, 000000000000000000000000000000010
9, 0000000000000000000000000000000101000010101100110000000000000000, 000000000000000000000000000000010
11, 0000000000000000000000000000000101000010101101000000000000000000, 000000000000000000000000000000010
13, 0000000000000000000000000000000101000010101100101110000101001000, 000000000000000000000000000000010
15, 0000000000000000000000000000000101000010100111011001111010111000, 000000000000000000000000000000011
17, 0000000000000000000000000000000101000010101001010110000101001000, 000000000000000000000000000000011
19, 0000000000000000000000000000000101000010101000101001111010111000, 000000000000000000000000000000010
21, 0000000000000000000000000000000101000010101010111000000000000000, 000000000000000000000000000000011
23, 0000000000000000000000000000000101000010101100000001111010111000, 000000000000000000000000000000010
25, 0000000000000000000000000000000101000010101011101011110101110001, 000000000000000000000000000000010
27, 0000000000000000000000000000000101000010101100100000000000000000, 000000000000000000000000000000010
29, 0000000000000000000000000000000101000010101011001011110101110001, 000000000000000000000000000000011
31, 0000000000000000000000000000000101000010101000100011110101110001, 000000000000000000000000000000011
33, 0000000000000000000000000000000101000010100111000011110101110001, 000000000000000000000000000000011
35, 0000000000000000000000000000000101000010101000000011110101110001, 000000000000000000000000000000010
37, 0000000000000000000000000000000101000010101000101000000000000000, 000000000000000000000000000000011
39, 0000000000000000000000000000000101000010100111101110000101001000, 000000000000000000000000000000010
41, 0000000000000000000000000000000101000010100111110011110101110001, 000000000000000000000000000000010
43, 0000000000000000000000000000000101000010101001011000000000000000, 000000000000000000000000000000011
45, 0000000000000000000000000000000101000010101100000011110101110001, 000000000000000000000000000000011
47, 0000000000000000000000000000000101000010101100010110000101001000, 000000000000000000000000000000010
49, 0000000000000000000000000000000101000010101010111001111010111000, 000000000000000000000000000000011
52, 0000000000000000000000000000000101000010101011011001111010111000, 000000000000000000000000000000010
53, 0000000000000000000000000000000101000010101011111001111010111000, 000000000000000000000000000000011
56, 0000000000000000000000000000000101000010101010011110000101001000, 000000000000000000000000000000010
